datetime,p00,p01,p02,p03,p04,p05,p06,p07,p08,p09,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19
2016/8/25 1:00,469.29,21.38,42.11,398.74,343.14,248.12,100.95,75.12,33.87,187.34,143.06,27.65,22.83,14.34,34.94,11.02,13.06,7.87,2.49,0.33
2016/8/25 2:00,469.23,20.88,41.58,398.73,343.13,248.09,100.93,75.1,33.85,187.34,143.05,27.64,22.83,14.33,34.91,10.99,13.05,7.87,2.47,0.3
2016/8/25 3:00,469.17,20.23,40.06,398.72,343.12,248.1,100.92,75.1,33.83,187.33,143.04,27.63,22.83,14.33,34.9,10.97,13.05,7.86,2.45,0.28
2016/8/25 4:00,469.1,19.75,39.54,398.71,343.11,248.08,100.91,75.08,33.81,187.32,143.04,27.63,22.82,14.32,34.88,10.95,13.05,7.86,2.44,0.27
2016/8/25 5:00,469.04,19.5,39.04,398.7,343.1,248.07,100.9,75.09,33.8,187.32,143.03,27.63,22.82,14.31,34.86,10.92,13.06,7.86,2.42,0.27
2016/8/25 6:00,468.98,19.34,38.17,398.69,343.09,248.07,100.89,75.05,33.79,187.32,143.02,27.62,22.82,14.31,34.84,10.89,13.04,7.85,2.41,0.31
2016/8/25 7:00,468.92,18.27,37.62,398.69,343.08,248.07,100.88,75.04,33.77,187.31,143.01,27.62,22.81,14.3,34.82,10.85,13.05,7.85,2.39,0.35
2016/8/25 8:00,468.86,18.03,36.97,398.68,343.07,248.05,100.87,75.03,33.75,187.31,143.01,27.62,22.81,14.29,34.8,10.82,13.04,7.84,2.38,0.39
2016/8/25 9:00,468.81,17.53,36,398.67,343.06,248.05,100.87,75.01,33.73,187.3,143,27.61,22.81,14.28,34.78,10.79,13.04,7.84,2.36,0.4
2016/8/25 10:00,468.75,17.36,34.85,398.66,343.04,248.05,100.85,74.98,33.7,187.3,142.99,27.61,22.8,14.28,34.78,10.76,13.03,7.83,2.34,0.39
2016/8/25 11:00,468.7,16.83,34.38,398.66,343.03,248.06,100.85,74.98,33.69,187.3,142.99,27.61,22.8,14.27,34.77,10.73,13.03,7.83,2.32,0.36
2016/8/25 12:00,468.64,16.25,34.04,398.65,343.02,248.05,100.84,74.95,33.68,187.3,142.99,27.6,22.8,14.26,34.76,10.7,13.02,7.83,2.31,0.33
2016/8/25 13:00,468.59,16.67,33.34,398.64,343.01,248.05,100.84,74.95,33.68,187.3,142.99,27.6,22.8,14.26,34.76,10.7,13.02,7.83,2.31,0.33
2016/8/25 14:00,468.53,15.94,32.72,398.63,343,248.05,100.84,74.95,33.68,187.3,142.99,27.6,22.8,14.26,34.76,10.7,13.02,7.83,2.31,0.33
2016/8/25 15:00,468.48,15.54,32.19,398.63,342.99,248.04,100.81,74.89,33.63,187.28,142.97,27.59,22.79,14.24,34.7,10.64,13,7.82,2.27,0.29
2016/8/25 16:00,468.43,15.72,31.89,398.62,342.99,248.04,100.8,74.9,33.64,187.28,142.96,27.59,22.79,14.21,34.7,10.62,13,7.81,2.26,0.34
2016/8/25 17:00,468.38,15.13,31.08,398.61,342.98,248.04,100.79,74.86,33.61,187.28,142.96,27.59,22.79,14.23,34.7,10.61,12.99,7.81,2.25,0.4
2016/8/25 18:00,468.33,14.97,30.37,398.6,342.98,248.04,100.78,74.87,33.61,187.27,142.95,27.59,22.79,14.22,34.69,10.59,13,7.8,2.24,0.49
2016/8/25 19:00,468.29,14.3,29.94,398.6,342.97,248.03,100.77,74.85,33.6,187.27,142.94,27.58,22.78,14.22,34.67,10.57,12.99,7.8,2.24,0.54
2016/8/25 20:00,468.24,14.19,28.9,398.59,342.96,248.03,100.77,74.83,33.59,187.26,142.94,27.58,22.78,14.22,34.65,10.55,12.98,7.79,2.23,0.57
2016/8/25 21:00,468.2,14.23,28.56,398.58,342.95,248.03,100.76,74.83,33.58,187.26,142.93,27.58,22.77,14.21,34.64,10.53,12.98,7.79,2.22,0.52
