datetime,s301081281107010,s301081281107020,s301081281107040,s301081281107050,s301081281107055,s301081281107060,s301081281107070,s301081281107090,s301081281107100,s301081281107110,s301081281107135,s301081281107145,s301081281107150,s301081281107160,s301081281107170,s301081281107180,s301081281107195,s301081281107200,s301081281107210,s301081281107220,s301081281107230,s301081281107240,s301081281107250,s301081281107260,s301081281107280,s301081281107290,s301081281107300,s301081281107320,s301081281107330,s301081281107350,s301081281107360,s301081281107370,s301081281107400
2016/08/01 01:00,345.10,143.16,60.82,32.70,21.91,9.66,3.51,0.65,476.20,482.13,61.58,41.69,204.63,71.55,31.25,495.58,398.34,342.63,248.16,100.67,74.41,32.52,,142.68,27.40,22.38,13.65,34.00,9.87,12.48,7.72,1.81,0.42
2016/08/01 02:00,345.08,143.16,60.81,32.69,21.90,9.66,3.50,0.61,476.05,482.12,61.58,41.69,204.62,71.54,31.25,495.57,398.34,342.63,248.16,100.67,74.40,32.52,,142.68,27.40,22.38,13.66,33.99,9.86,12.48,7.72,1.80,0.40
2016/08/01 03:00,345.08,143.15,60.77,32.67,21.90,9.64,3.49,0.49,476.03,482.12,61.58,41.68,204.62,71.54,31.25,495.57,398.34,342.63,248.15,100.67,74.40,32.51,,142.68,27.40,22.38,13.65,33.98,9.85,12.48,7.71,1.80,0.33
2016/08/01 04:00,345.04,143.15,60.78,32.63,21.89,9.63,3.48,0.35,475.99,482.12,61.58,41.67,204.62,71.54,31.25,495.57,398.34,342.63,248.15,100.66,74.40,32.51,,142.68,27.40,22.38,13.65,33.97,9.84,12.48,7.71,1.79,0.22
2016/08/01 05:00,345.03,143.15,60.77,32.60,21.88,9.62,3.46,0.16,475.97,482.11,61.57,41.66,204.62,71.53,31.25,495.57,398.34,342.62,248.15,100.66,74.40,32.51,,142.67,27.40,22.38,13.65,33.97,9.83,12.48,7.71,1.78,0.11
2016/08/01 06:00,345.01,143.15,60.76,32.59,21.87,9.61,3.45,0.02,475.97,482.11,61.57,41.66,204.61,71.53,31.25,495.57,398.34,342.62,248.15,100.66,74.40,32.51,,142.67,27.40,22.38,13.65,33.97,9.82,12.48,7.71,1.78,0.02
2016/08/01 07:00,345.00,143.16,60.76,32.58,21.86,9.59,3.43,-0.09,475.97,482.11,61.57,41.65,204.61,71.53,31.25,495.56,398.34,342.62,248.15,100.66,74.40,32.51,,142.67,27.40,22.38,13.65,33.97,9.81,12.48,7.70,1.77,-0.04
2016/08/01 08:00,345.00,143.16,60.76,32.57,21.85,9.58,3.42,-0.14,475.90,482.11,61.57,41.65,204.61,71.52,31.25,495.57,398.34,342.62,248.14,100.66,74.40,32.51,,142.66,27.39,22.38,13.64,33.97,9.80,12.48,7.70,1.77,-0.09
2016/08/01 09:00,345.00,143.15,,32.56,21.85,9.57,3.40,-0.15,475.81,482.10,,,204.61,71.52,31.25,495.57,398.34,342.62,,100.66,74.39,32.51,,142.66,27.39,22.38,13.65,33.97,9.80,12.48,7.70,1.76,-0.11
2016/08/01 10:00,344.99,143.14,,32.55,21.84,9.56,3.38,-0.11,475.78,482.10,,,204.61,71.52,31.25,495.58,398.35,342.62,,100.66,74.39,32.50,,142.66,27.39,22.38,13.65,33.96,9.79,12.48,7.70,1.76,-0.13
2016/08/01 11:00,344.97,143.11,,32.55,21.84,9.55,3.37,-0.02,475.78,482.10,,,204.62,71.52,31.25,495.59,398.35,342.64,,100.66,74.39,32.50,,142.66,27.39,22.38,13.64,33.96,9.78,12.48,7.70,1.76,-0.14
2016/08/01 12:00,344.96,143.11,,32.54,21.84,9.61,3.35,0.12,475.78,482.09,,,204.62,71.52,31.25,495.79,398.36,342.65,,100.66,74.39,32.50,,142.66,27.39,22.38,13.64,33.95,9.78,12.48,7.70,1.76,-0.09
2016/08/01 13:00,344.96,143.09,,32.53,21.84,9.55,3.35,0.30,475.78,482.09,,,204.62,71.52,31.25,496.02,398.36,342.69,,100.66,74.40,32.51,,142.66,27.39,22.39,13.66,33.95,9.77,12.48,7.70,1.76,0.07
2016/08/01 14:00,344.96,143.06,,32.53,21.84,9.55,3.34,0.40,475.78,482.09,,,204.62,71.52,31.30,496.19,398.38,342.78,,100.66,74.40,32.52,,142.67,27.39,22.41,13.67,33.95,9.77,12.48,7.75,1.77,0.19
2016/08/01 15:00,344.96,143.01,,32.51,21.84,9.56,3.35,0.50,475.78,482.10,,,204.62,71.52,31.44,496.15,398.39,342.96,,100.68,74.41,32.53,,142.69,27.40,22.47,13.69,33.94,9.76,12.52,8.22,1.79,0.32
